departement;nom;adresse_1;adresse2;adresse3;code_postal;ville;email;telephone;fax;web;wgs84
78;Médiathèque Christine de Pizan à Poissy;31 avenue Maurice-Berteaux;;;78300;Poissy;mediatheque@ville-poissy.fr;01 30 65 10 65;;http://www.mediatheque-poissy.fr/;48.93220780000001,2.0405203
78;Salle Malesherbes;1 place du Château;;;78605;Maisons-Laffitte;;01 34 93 11 50;01 39 12 57 32;;48.9468897,2.1516456
92;Musique pour Tous / La Basse-Cour;8 rue Anatole France;;;92000;Nanterre;;01 47 29 03 84;;http://www.musiquepourtous.com;48.9018354,2.2080096
92;Agoreine;63 bis, boulevard du Maréchal Joffre;;;92340;Bourg-la-Reine;regie-agoreine@bourg-la-reine.fr;01 41 87 24 58 (contact technique);;;48.78098139999999,2.314227
93;La Guinguette;Le SAMU (Section Artistico Musicale d’Urgence);Place Jean Jaurès;;93380;Pierrefitte-sur-Seine;le.samu@free.fr;01 48 27 00 61;01 48 27 00 61;;48.936248,2.3576449999999998
95;Maison de l’Isle-Adam;Parc Manchez;;;95290;L'Isle-Adam;;01 34 69 21 38;01 34 69 14 66;;49.1144755,2.2155831
95;Bibliothèque Intercommunale à Arnouville;Centre socio-culturel;15/17 rue Robert Shuman;;95400;Arnouville;jbmarchesi@agglo-valdefrance.fr;01 39 85 39 96;01 34 45 97 07;http://www.agglo-valdefrance.fr/;48.989518,2.420295
75;Théâtre du marais;37 rue Volta;;;75003;Paris 03;;01 45 44 88 42;;http://www.theatre-du-marais.com/;48.8663791,2.3577818
75;Bibliothèque Clignancourt à Paris;29 rue Hermel;;;75018;Paris 18;bibliotheque.clignancourt@paris.fr;01 53 41 35 60;;;48.8916173,2.3444352999999998
75;Lavoir Moderne Parisien;35, rue Léon;;;75018;Paris 18;;;;http://www.rueleon.net;48.8887648,2.3535699
75;MK2 Quai de Seine;14 Quai de la Seine;;;75019;Paris 19;;;;;48.885065,2.371404
77;Salle polyvalente La Campélienne;;;;77720;Champeaux;;;;;48.58458299999999,2.806285
75;Les Déchargeurs;3, rue des Déchargeurs;;;75001;Paris 01;infos@lesdechargeurs.fr;;01 42 36 15 22;http://www.lesdechargeurs.fr;48.8596937,2.3459332
75;Espace Quartier Latin;37, rue Tournefort;;;75005;Paris 05;espacequartierlatin@wanadoo.fr;;;;48.842449,2.348238
75;Théâtre Fontaine;10, rue Fontaine;;;75009;Paris 09;adm.fontaine@free.fr;01 48 74 30 68;01 48 78 37 44;http://www.theatrefontaine.com;48.880957,2.3347282
78;Médiathèque de Velizy-Villacoublay;3 place Bernard Dautier;;;78140;Velizy-Villacoublay;mediatheque@velizy-villacoublay.fr;01 39 46 14 61;;http://www.velizy-villacoublay.fr/;48.782498,2.189693
91;Médiathèque Georges Perec à Courcouronnes;Mairie annexe;8-10 rue du Marquis de Raies;;91080;Courcouronnes;;01 60 77 21 02;;http://www.agglo-evry.fr/La-Culture/Le-reseau-des-mediatheques/infrastructure/Mediatheque-Georges-Perec;48.6294411,2.4134928
91;Maison de quartier Audiberti;58 rue du Moulin;;;91120;Palaiseau;;01 60 14 55 38;;;48.703185500000004,2.2109973
91;Espace Liberté;1 avenue du Général de Gaulle;;;91300;Massy;;;;;48.7308181,2.2713161
92;Théâtre de Neuilly;167 avenue Charles de Gaulle;;;92200;Neuilly-sur-Seine;;01 55 62 64 80;;http://www.ville-neuillysurseine.fr/;48.8835606,2.2634464
94;Médiathèque Boris Vian à Chevilly-Larue;25 avenue Franklin Roosevelt;;;94550;Chevilly-Larue;mediatheque@ville-chevilly-larue.fr;01 45 60 19 90;;http://mediatheque.ville-chevilly-larue.fr/;48.77174549999999,2.3598024
75;Point éphémère;200, quai de Valmy;;;75010;Paris 10;info@pointephemere.org;;01 40 34 02 58;http://www.pointephemere.org;48.881187,2.368235
77;Espace Culturel Le Wagon;39 boulevard du Segrais;;;77185;Lognes;culturel@mairie-torcy.org;01 60 53 68 87;;http://www.ville-torcy.fr;48.8354358,2.6474094
78;Centre Georges Brassens de Mesnil-le-Roi;Centre culturel;100 rue Jules Rein Le Mesnil le Roi;;78600;Mesnil-le-Roi;;01 34 93 26 40;;;48.924857,2.123343
93;La Fabrique mc11;11 rue Bara;;;93100;Montreuil;fabriquemc11@gmail.com;;;http://lafabriquemc11.over-blog.com/;48.8548402,2.4238032
93;Le Deux Pièces Cuisine - Centre de préparation musicale;42, avenue Paul Vaillant-Couturier;;;93150;Le Blanc-Mesnil;direction.2pc@free.fr;01 48 69 79 43;01 48 79 10 16;http://www.deuxpiecescuisine.net;48.9288189,2.47634
93;Studio-Théâtre de Stains;19 rue Carnot;;;93240;Stains;contact@studiotheatrestains.fr;01 48 23 06 61;01 49 40 19 36;http://www.studiotheatrestains.fr;48.9572495,2.3818409
94;Théâtre de Cachan - Jacques Carat;21, avenue Louis Georgeon;;;94230;Cachan;contact@theatredecachan.fr;01 49 69 60 00;;http://www.theatredecachan.fr;48.7929767,2.3357796
92;Centre d'animation d'expression et des loisirs;6 Villa Maurice;;;92340;Bourg-la-Reine;c.a.e.l@wanadoo.fr;01 46 63 76 96;01 46 64 29 06;http://caelmjc.com;48.7772285,2.3249748
75;Centre culturel d'Egypte à Paris;111 bd Saint-Michel;;;75005;Paris 05;centre@culture-egypte.com;01 46 33 75 67;01 43 26 18 83;http://www.culture-egypte.com;48.8434867,2.3389465
75;Parc de la Villette;211, avenue Jean Jaurès;;;75935;Paris 19;;;;;48.893827,2.390274
77;Conservatoire du Val Maubuée;14 allée Boris-Vian;;;77186;Noisiel;conservatoire@san-valmaubuee.fr;01 60 05 76 35;01 64 80 75 78;http://www.san-valmaubuee.fr/rubrique30.html;48.8440059,2.6143034
77;Conservatoire Jean Sébastin BACH;1, rue Jean Monnet;;;77600;Bussy-Saint-Georges;conservatoire.jsbach@bussy-saint-georges.fr;01 64 66 35 71;;;48.8388889,2.7078042
94;Centre Culturel Alain Poher à Ablon-sur-seine;;;;94480;Ablon-sur-seine;cap@ville-ablonsurseine.fr;01 45 97 53 11;;;48.724344,2.420715
94;Bibliothèque des jeunes Fernand Dupuy à Choisy-le-Roi;Parc de la mairie;;;94600;Choisy-le-Roi;yamina.boubeker@choisyleroi.fr;01 48 92 44 62;;http://www.choisyleroi.fr/fre/Culture-Loisirs;48.7629488,2.4084187
95;Bibliothèque de Menucourt;23 rue de la Marèche;;;95180;Menucourt;;01 34 46 97 22;;http://www.bibaglo.org;49.02734840000001,1.9855936
75;Théâtre Adyar;4, square Rapp;;;75007;Paris 07;contact@theatre-adyar.fr;01 45 55 67 63;;http://www.theatre-adyar.fr/;48.85872819999999,2.3006611
75;Athénée - Théâtre Louis Jouvet;Square de l'Opéra Louis Jouvet;7, rue Boudreau;;75009;Paris 09;contact@athenee-theatre.com;01 53 05 19 00;01 53 05 19 01;http://www.athenee-theatre.com;48.87222850000001,2.3291574
75;Théâtre Montparnasse;31, rue de la Gaîté;;;75014;Paris 14;theatre@theatremontparnasse.com;01 43 22 77 30;;http://www.theatremontparnasse.com;48.8394969,2.3235395
75;Centre culturel coréen;2 avenue d'Iéna;;;75016;Paris 16;ccc@coree-culture.org;01 47 20 84 15;01 47 23 58 97;http://www.coree-culture.org;48.8631469,2.2919825
77;La Tête des Trains café-musiques;6 rue de la Mairie;;;77123;Tousson;contact@latetedestrains.com;01 64 24 76 37;;http://www.latetedestrains.com;48.3463625,2.4590109
78;Théâtre ìLa grande scène du Chesnayî;37 rue Caruel de Saint-Martin;;;78150;Le Chesnay;culture@lechesnay.fr;01 39 23 23 39;01 39 23 23 02;;48.8210094,2.1215993
78;Médiathèque Jean Jaurès à Trappes;46 rue Jean Jaurès;;;78190;Trappes;mediatheque-anatole.france@agglo-sqy.fr;01 30 62 26 24;;http://www.mediatheques.agglo-sqy.fr/les-mediatheques/les-mediatheques/jean-jaures/;48.775608,1.9996950999999998
78;Théâtre Robert Manuel;Château de Plaisir;282, rue de la Bretechelle;;78370;Plaisir;;01 30 79 63 20;;http://www.ville-plaisir.fr;48.81651309999999,1.9544953999999999
92;Espace Henry Miller;3, rue du Docteur Albert Calmette;;;92110;Clichy-sous-Bois;;;;http://www.ville-clichy.fr/index.php?Rub=404;48.898488,2.307823
92;Théâtre Victor Hugo;14 avenue Victor Hugo;;;92220;Bagneux;theatre@mairie-bagneux.fr;01 46 63 10 54;01 46 64 13 28;;48.8042574,2.3215529999999998
92;Conservatoire à rayonnement départemental de Bourg-la-Reine/Sceaux;11 boulevard Carnot;;;92340;Bourg-la-Reine;;01 41 87 12 84;01 41 87 12 90;http://www.sceaux.fr/fr/culture-loisirs/les-lieux-de-culture/;48.7788984,2.317368
93;Médiathèque Roger Gouhier;36 rue de la République;;;93160;Noisy-le-Grand;mediatheque@ville-noisylegrand.fr;01 55 85 09 10;01 43 05 99 69;http://www.noisylegrand.fr/culture.asp?IdPage=2796;48.8463539,2.5526336
93;Médiathèque Jean Renaudie à Villetaneuse;52 rue Roger Salengro;;;93430;Villetaneuse;;01 48 21 79 99;;http://www.mediatheques-plainecommune.fr/;48.9640792,2.3441378
94;Arc en ciel - Théâtre de Rungis;1, place du Général de Gaulle;;;94150;Rungis;theatre.rungis@wanadoo.fr;01 45 60 79 00;01 46 86 17 93;;48.7491944,2.3503594
95;MJC d'Argenteuil;7 rue des Gobelins;;;95100;Argenteuil;mjc.argenteuil@orange.fr;01 39 61 78 03;01 39 61 91 76;http://www.mjc-argenteuil.fr;48.9426597,2.2519413
95;Centre culturel François Villon;4 rue Talma;;;95880;Enghien-les-Bains;infos@ccfv.fr;01 34 12 85 89;;http://www.centre-culturel-enghien.com/;48.9671597,2.3036692
75;La Flèche d'Or;102 bis, rue de Bagnolet;;;75020;Paris 20;programmation.flechedor@orange.fr;01 44 64 01 02;01 44 64 05 93;http://www.flechedor.fr;48.859432,2.402888
77;Salle Jacques Brel de Champs-sur-Marne;Allée Pascal Dulphy;;;77420;Champs-sur-Marne;;01 64 73 49 00;01 64 73 48 49;;48.853687,2.596464
77;File 7;4 rue des Labours;;;77700;Magny-le-Hongre;info@file7.com;;01 60 43 54 63;http://www.file7.com;48.864008,2.8131253
93;Conservatoire La Courneuve;41 avenue Gabriel Péri;;;93120;La Courneuve;contact@conservatoireregional93.fr;01 43 11 21 10;;http://www.conservatoireregional93.fr/;48.9269656,2.3891822
93;Le Triton;11 bis, rue du Coq Français;;;93260;Les Lilas;contact@letriton.com;;;http://www.letriton.com;48.8785842,2.4148356
93;Conservatoire municipal de musique, de danse et de théâtre de Saint-Ouen;Château de Saint-Ouen;12 rue Albert-Dhalenne;;93400;Saint-Ouen;;01 49 48 95 20;;http://www.ville-saintouen.fr/;48.916528,2.3294959
93;Centre de danse Le Galion;Galerie Surcouf;;;93600;Aulnay-sous-Bois;danseaul@wanadoo.fr;01 48 68 80 65;01 48 68 02 62;;48.955331,2.49987
75;Centre India;La route des Indes;7 rue d'Argenteuil;;75001;Paris 01;;01 45 42 72 13;;;48.8646375,2.3338723
95;L'Antarès;1 place du Cúur-Battant;;;95490;Vauréal;dauduc@mairie-vaureal.fr;01 34 43 49 91;;http://www.vaureal.fr/heading/heading43091.html;49.030386,2.020674
95;Abbaye de Maubuisson;6 Rue Alexandre Prachay;;;95310;Saint-Ouen-l'Aumône;abbaye.maubuisson@valdoise.fr;01 34 64 14 30;;http://www.valdoise.fr;49.0452172,2.1173528
93;Basilique de Saint-Denis;1 Place de la Légion d'Honneur;;;93200;Saint-Denis;;01 48 09 83 54;01 48 09 83 66;;48.9348197,2.3582944
93;Espace culturel du Parc;120, rue Sadi Carnot;;;93700;Drancy;espace.culturel@drancy.fr;01 48 95 06 38;01 48 95 06 37;;48.9258914,2.4402051
77;Conservatoire de Musique et d'Art dramatique Gabriel-Fauré;221, avenue de l'Europe;BP 147;;77540;Savigny-le-Temple;conservatoire.g.faure@savigny-le-temple.fr;01 60 63 41 28;01 60 63 28 14;http://www.savigny-le-temple.fr/;48.59530030000001,2.5815701
77;Espace multiculturel de Chartrettes;Rue Georges Clemenceau;;;77590;Chartrettes;coordinateur.culturel@mairie-chartrettes.fr;01 64 81 32 32;;http://www.mairie-chartrettes.fr/;48.4913738,2.69641
75;Théâtre du Lucernaire;53, rue Notre-Dame-des-Champs;;;75006;Paris 06;;01 42 22 26 50;01 45 44 86 92;http://www.lucernaire.fr;48.8442572,2.3303711
75;Salle Gaveau;45, rue de la Boétie;;;75008;Paris 08;c.fournier@sallegaveau.com;01 49 53 05 07;;http://www.sallegaveau.com;48.873519,2.314247
